brand,source_file,total_tweets,customer_messages,brand_responses,linked_response_pairs,conversation_threads,median_conversation_length,usable_conversation_pct,text_coverage_pct,issue_diversity,duplicate_noise_rate,measurement_basis,selection_score
DropboxSupport,twcs.csv,5954,1704,5954,1704,,,28.62,100.0,,,"full export, chunked aggregation",0.1689
DellCares,twcs.csv,5336,1589,5336,1589,,,29.78,100.0,,,"full export, chunked aggregation",0.1673
HPSupport,twcs.csv,7200,976,7200,976,,,13.56,100.0,,,"full export, chunked aggregation",0.1664
TacoBellTeam,twcs.csv,4082,1532,4082,1532,,,37.53,100.0,,,"full export, chunked aggregation",0.1652
AskPapaJohns,twcs.csv,3908,1383,3908,1383,,,35.39,100.0,,,"full export, chunked aggregation",0.164
CenturyLinkHelp,twcs.csv,3801,1224,3801,1224,,,32.2,100.0,,,"full export, chunked aggregation",0.1629
AskCiti,twcs.csv,4081,1072,4081,1072,,,26.27,100.0,,,"full export, chunked aggregation",0.1624
VirginAmerica,twcs.csv,2815,1176,2815,1176,,,41.78,100.0,,,"full export, chunked aggregation",0.1612
Postmates_Help,twcs.csv,3346,1045,3346,1045,,,31.23,100.0,,,"full export, chunked aggregation",0.1612
ATT,twcs.csv,2790,1126,2790,1126,,,40.36,100.0,,,"full export, chunked aggregation",0.1608
AsurionCares,twcs.csv,1898,1072,1898,1072,,,56.48,100.0,,,"full export, chunked aggregation",0.1592
NortonSupport,twcs.csv,2011,1025,2011,1025,,,50.97,100.0,,,"full export, chunked aggregation",0.1591
IHGService,twcs.csv,2643,810,2643,810,,,30.65,100.0,,,"full export, chunked aggregation",0.1587
TfL,twcs.csv,2243,772,2243,772,,,34.42,100.0,,,"full export, chunked aggregation",0.1579
GoDaddyHelp,twcs.csv,1965,791,1965,791,,,40.25,100.0,,,"full export, chunked aggregation",0.1576
KFC_UKI_Help,twcs.csv,2103,652,2103,652,,,31.0,100.0,,,"full export, chunked aggregation",0.157
askpanera,twcs.csv,2153,594,2153,594,,,27.59,100.0,,,"full export, chunked aggregation",0.1567
Walmart,twcs.csv,2643,444,2643,444,,,16.8,100.0,,,"full export, chunked aggregation",0.1565
USCellularCares,twcs.csv,1177,770,1177,770,,,65.42,100.0,,,"full export, chunked aggregation",0.1563
VMUcare,twcs.csv,1381,689,1381,689,,,49.89,100.0,,,"full export, chunked aggregation",0.1561
sizehelpteam,twcs.csv,1482,663,1482,663,,,44.74,100.0,,,"full export, chunked aggregation",0.1561
ArbysCares,twcs.csv,1904,538,1904,538,,,28.26,100.0,,,"full export, chunked aggregation",0.156
SCsupport,twcs.csv,1329,601,1329,601,,,45.22,100.0,,,"full export, chunked aggregation",0.1555
DoorDash_Help,twcs.csv,1581,451,1581,451,,,28.53,100.0,,,"full export, chunked aggregation",0.155
YahooCare,twcs.csv,906,600,906,600,,,66.23,100.0,,,"full export, chunked aggregation",0.1549
AskVirginMoney,twcs.csv,914,571,914,571,,,62.47,100.0,,,"full export, chunked aggregation",0.1548
Kimpton,twcs.csv,1339,450,1339,450,,,33.61,100.0,,,"full export, chunked aggregation",0.1547
GooglePlayMusic,twcs.csv,804,486,804,486,,,60.45,100.0,,,"full export, chunked aggregation",0.1541
AskRBC,twcs.csv,1011,431,1011,431,,,42.63,100.0,,,"full export, chunked aggregation",0.1541
OPPOCareIN,twcs.csv,879,451,879,451,,,51.31,100.0,,,"full export, chunked aggregation",0.154
NeweggService,twcs.csv,1079,381,1079,381,,,35.31,100.0,,,"full export, chunked aggregation",0.1539
AWSSupport,twcs.csv,1035,369,1035,369,,,35.65,100.0,,,"full export, chunked aggregation",0.1537
PandoraSupport,twcs.csv,1043,366,1043,366,,,35.09,100.0,,,"full export, chunked aggregation",0.1537
MTNC_Care,twcs.csv,784,389,784,389,,,49.62,100.0,,,"full export, chunked aggregation",0.1535
BoostCare,twcs.csv,907,347,907,347,,,38.26,100.0,,,"full export, chunked aggregation",0.1534
AskTigogh,twcs.csv,715,379,715,379,,,53.01,100.0,,,"full export, chunked aggregation",0.1533
DunkinDonuts,twcs.csv,1290,234,1290,234,,,18.14,100.0,,,"full export, chunked aggregation",0.1533
PearsonSupport,twcs.csv,841,312,841,312,,,37.1,100.0,,,"full export, chunked aggregation",0.1531
TwitterSupport,twcs.csv,1290,180,1290,180,,,13.95,100.0,,,"full export, chunked aggregation",0.153
asksalesforce,twcs.csv,710,306,710,306,,,43.1,100.0,,,"full export, chunked aggregation",0.1529
AskSeagate,twcs.csv,639,300,639,300,,,46.95,100.0,,,"full export, chunked aggregation",0.1527
HiltonHelp,twcs.csv,833,228,833,228,,,27.37,100.0,,,"full export, chunked aggregation",0.1526
KeyBank_Help,twcs.csv,555,250,555,250,,,45.05,100.0,,,"full export, chunked aggregation",0.1523
MOO,twcs.csv,630,206,630,206,,,32.7,100.0,,,"full export, chunked aggregation",0.1522
askvisa,twcs.csv,709,164,709,164,,,23.13,100.0,,,"full export, chunked aggregation",0.152
ask_progressive,twcs.csv,612,151,612,151,,,24.67,100.0,,,"full export, chunked aggregation",0.1518
AskRobinhood,twcs.csv,432,140,432,140,,,32.41,100.0,,,"full export, chunked aggregation",0.1515
mediatemplehelp,twcs.csv,305,114,305,114,,,37.38,100.0,,,"full export, chunked aggregation",0.1511
OfficeSupport,twcs.csv,218,107,218,107,,,49.08,100.0,,,"full export, chunked aggregation",0.151
CarlsJr,twcs.csv,196,72,196,72,,,36.73,100.0,,,"full export, chunked aggregation",0.1507
JackBox,twcs.csv,266,60,266,60,,,22.56,100.0,,,"full export, chunked aggregation",0.1507
HotelTonightCX,twcs.csv,152,38,152,38,,,25.0,100.0,,,"full export, chunked aggregation",0.1505
AskDSC,twcs.csv,210,29,210,29,,,13.81,100.0,,,"full export, chunked aggregation",0.1505
