conversation_id,customer_message,gold_intent,predicted_intent,confidence,gold_escalation,predicted_decision,decision_reason,reply,retrieved_evidence
2910317,@AmazonHelp I bought a product off you and then cancelled as found cheaper. You still delivered and tried to charge me returns. Your advisor said they would advance refund so I could return and still buy product elsewhere. Refund never came and now I’m out of pocket as deal elsewhere has end,refund_return_or_cancellation,refund_return_or_cancellation,0.9989,AUTO-HANDLE,ESCALATE,Escalated because best Knowledge similarity 0.15 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""317609"", ""similarity"": 0.1494, ""customer_message"": ""@AmazonHelp It said undeliverable and I tried to setup a return"", ""historical_response"": ""@191801 Here's more info on undeliverable parcels: https://t.co/a34WdMiaG4 ^PK""}, {""conversation_id"": ""2859782"", ""similarity"": 0.1367, ""customer_message"": ""@AmazonHelp Thanks for clarifying"", ""historical_response"": ""@141424 You're very welcome! \ud83d\ude03 ^JR""}, {""conversation_id"": ""1466931"", ""similarity"": 0.1198, ""customer_message"": ""@AmazonHelp If they would of been honest with me from day 1 and found out exactly what was going on we wouldn\u2019t be in this mess but I find it funny how there can be a Xbox sat in transit with a delivery driver for the past 4 days and no one is looking to see exactly what is going on!"", ""historical_response"": ""@460488 I can see you have sent on your details and they are in the queue. Once we  investigate your details, we will update you.^BZ""}]"
354422,"@AmazonHelp TY for your response. Carrier: AMZL US
Tracking #: TBA482591585000. Been waiting for it tonight, said Out For Delivery. Now not",delivery_tracking,delivery_delay,0.9956,AUTO-HANDLE,AUTO-HANDLE,Intent confidence 1.00 and best Knowledge similarity 0.42 meet the auto-handle thresholds.,Please provide your information here: and we will reach out to you! (2/2) ^SA,"[{""conversation_id"": ""1380509"", ""similarity"": 0.4211, ""customer_message"": ""@AmazonHelp Hi! Carrier: AMZL US, Tracking #: TBA494152890000"", ""historical_response"": ""@441348 Please provide your information here:https://t.co/YYKWtfd0Hl and we will reach out to you! (2/2) ^SA""}, {""conversation_id"": ""1357191"", ""similarity"": 0.4207, ""customer_message"": ""@AmazonHelp Carrier: AMZL US, Tracking #: TBA509892981000"", ""historical_response"": ""@436425 Thanks for confirming! We'd like to look further into this. Please provide your details here: https://t.co/qcLFa2IKWB ^WJ""}, {""conversation_id"": ""322864"", ""similarity"": 0.4207, ""customer_message"": ""@AmazonHelp Carrier: AMZL US, Tracking #:"", ""historical_response"": ""@185620 I'm sorry about the way the delivery was made Matt! Just to clarify, who was the carrier for this delivery? ^AH""}]"
390784,"@AmazonHelp Yes, and it's a 3 day delivery instead of 2 days. I am a prime member and expect prime shipping.",refund_return_or_cancellation,delivery_delay,0.5393,AUTO-HANDLE,ESCALATE,Escalated because intent confidence 0.54 is below 0.60.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""126063"", ""similarity"": 0.2269, ""customer_message"": ""@AmazonHelp Yes and yes."", ""historical_response"": ""@144289 Hi Coach, thanks for asking about having your book featured as a Black Friday deal! Is your book part of our Kindle Direct Publishing program or Fulfilled by Amazon? ^PF""}, {""conversation_id"": ""2577026"", ""similarity"": 0.2204, ""customer_message"": ""@AmazonHelp I am a prime member, so this is helpful, thanks!"", ""historical_response"": ""@264524 Hi Sam! Prime Pantry is for Prime members- so if you have a Prime membership, or sign up for the trial, you can order from Prime Pantry! If you'd like to look into prices or learn more about Prime Pantry, you can do so here: https://t.co/SNuNfw4mbz ^VF""}, {""conversation_id"": ""518756"", ""similarity"": 0.2197, ""customer_message"": ""@AmazonHelp \u691c\u7d22\u304b\u3089\u308f\u3056\u308f\u3056\u3042\u308a\u304c\u3068\u3046\u3054\u3056\u3044\u307e\u3059\u3002\u7121\u6599\u4f53\u9a13\u51fa\u6765\u308b\u767b\u9332\u306f\u3057\u3066\u3042\u308a\u307e\u3059\u304c\u3001\u6709\u6599\u3058\u3083\u306a\u3044\u3068\u898b\u308c\u306a\u3044\u306e\u3082\u3042\u308b\u3093\u3067\u3059\u3088\u306d\uff1f\u30cd\u30c3\u30c8\u3067\u30b7\u30e7\u30c3\u30d4\u30f3\u30b0\u3059\u308b\u6642\u3082\u66f8\u3044\u3066\u3042\u308b\u300eprime\u300f\u3063\u3066\u3044\u3046\u52d5\u753b\u306f\u7121\u6599\u4f53\u9a13\u3067\u306f\u6709\u6599\u3067\u3001\u898b\u308c\u306a\u3044\u3093\u3067\u3057\u3087\u3046\u304b\uff1f"", ""historical_response"": ""@239685 \u30d7\u30e9\u30a4\u30e0\u30fb\u30d3\u30c7\u30aa\u306f\u3001\u7121\u6599\u4f53\u9a13\u671f\u9593\u4e2d\u3067\u3082\u5168\u3066\u3054\u8996\u8074\u3044\u305f\u3060\u3051\u307e\u3059\u3002\u6b63\u3057\u3044\u30a2\u30ab\u30a6\u30f3\u30c8\u306b\u30b5\u30a4\u30f3\u30a4\u30f3\u3055\u308c\u3066\u3044\u308b\u3053\u3068\u3092\u3054\u78ba\u8a8d\u306e\u3046\u3048\u3001\u518d\u5ea6\u30b5\u30a4\u30f3\u30a4\u30f3\u3092\u304a\u8a66\u3057\u3044\u305f\u3060\u3044\u3066\u3082\u3054\u89a7\u3044\u305f\u3060\u3051\u306a\u3044\u5834\u5408\u306b\u306f\u3001\u3053\u3061\u3089\u304b\u3089\u30ab\u30b9\u30bf\u30de\u30fc\u30b5\u30fc\u30d3\u30b9\u307e\u3067\u3054\u9023\u7d61\u304f\u3060\u3055\u3044\u3002 https://t.co/J6YEizFHia YM""}]"
616997,@AmazonHelp Yeah...but I’m disappointed as I have a prime account and you promised it yesterday and now I might not get it till the end of the week? #notright,delivery_tracking,prime_membership_or_benefits,0.8519,AUTO-HANDLE,AUTO-HANDLE,Intent confidence 0.85 and best Knowledge similarity 0.20 meet the auto-handle thresholds.,"I'm sorry for the wait. If for any reason it doesn't arrive tomorrow, please phone or chat with us:  ^AN","[{""conversation_id"": ""1636657"", ""similarity"": 0.2046, ""customer_message"": ""@AmazonHelp Yes I was supposed to receive it yesterday &amp; was told by the delivery company that I wont get it till tmrrww bc they didnt get it till today"", ""historical_response"": ""@500586 I'm sorry for the wait. If for any reason it doesn't arrive tomorrow, please phone or chat with us: https://t.co/Q7Ftz6nj80 ^AN""}, {""conversation_id"": ""1301243"", ""similarity"": 0.1849, ""customer_message"": ""@AmazonHelp Yeah"", ""historical_response"": ""@424119 Have you connected your Twitch account to your EA Account to receive the packs? Learn more here: https://t.co/DHArlrHUes ^SH""}, {""conversation_id"": ""2857262"", ""similarity"": 0.1822, ""customer_message"": ""@AmazonHelp It's should be deliver by the end of the day"", ""historical_response"": ""@794122 Sorry about this experience. Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^MK""}]"
656083,"@AmazonHelp Thx for reaching out. I didnt, but started the refund process. It's a hassle to bring this heavy #persil to ups. Timing isnt gonna work out now, I'll reorder after holidays (hope prices won't change). Hopefully your team wont ask me how come there is only one item in the package",account_email_or_login,refund_return_or_cancellation,0.557,ESCALATE,ESCALATE,Escalated because intent confidence 0.56 is below 0.60; best Knowledge similarity 0.19 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""1894083"", ""similarity"": 0.1894, ""customer_message"": ""@AmazonHelp Thx"", ""historical_response"": ""@564625 You are most welcome and thank you for reaching out to us today. ^JS""}, {""conversation_id"": ""29952"", ""similarity"": 0.1894, ""customer_message"": ""@AmazonHelp thx \ud83d\udc4d"", ""historical_response"": ""@122589 Gerne! ^DW""}, {""conversation_id"": ""1493317"", ""similarity"": 0.1894, ""customer_message"": ""@AmazonHelp thx\ud83d\ude04\ud83d\ude04"", ""historical_response"": ""@466773 \u3053\u3093\u306b\u3061\u3001\u30d7\u30e9\u30a4\u30e0\u30fb\u30d3\u30c7\u30aa\u3092\u3054\u5229\u7528\u3044\u305f\u3060\u304d\u3042\u308a\u304c\u3068\u3046\u3054\u3056\u3044\u307e\u3059\u3002\u697d\u3057\u3044\u9031\u672b\u3092\u304a\u904e\u3054\u3057\u304f\u3060\u3055\u3044\u307e\u305b\u3002\ud83d\ude0aET""}]"
671611,"@AmazonHelp Inizialmente era lunedì, ma questa notte me lo avete spedito e la data è diventata martedì. Poi ho amici senza Prime ai quali ancora non avete spedito e si vedono ancora lunedì come data d’arrivo. E ho fatto la prenotazione appena mi è arrivata la notifica di disponibilità",prime_membership_or_benefits,prime_membership_or_benefits,0.5437,AUTO-HANDLE,ESCALATE,Escalated because intent confidence 0.54 is below 0.60.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""2564058"", ""similarity"": 0.3344, ""customer_message"": ""@AmazonHelp S\u00ec, lo avete spedito voi. E io ho sbagliato taglia! \ud83d\ude2d"", ""historical_response"": ""@727550 Mi spiace! \ud83d\ude25 Puoi verificare qui: https://t.co/la0tJp7jmI le opzioni di reso disponibili per il tuo ordine e le relative istruzioni. Restiamo a disposizione! ^VE""}, {""conversation_id"": ""2461335"", ""similarity"": 0.2593, ""customer_message"": ""@AmazonHelp Ma il Prime non serve a facilitare tutto ci\u00f2 e soprattutto di velocizzare la spedizione?"", ""historical_response"": ""@704724 Quando procedi con l'ordine puoi vedere la data di consegna prevista, che non sempre \u00e8 immediata, prima di completare l'acquisto, nel Riepilogo Ordine. In base alle tue esigenze puoi valutare se proseguire. Facci sapere se possiamo fare altro per te. ^MZ""}, {""conversation_id"": ""790600"", ""similarity"": 0.2486, ""customer_message"": ""@AmazonHelp Non ancora. \u00c8 appena arrivata l'email che \u00e8 stato spedito. Per\u00f2 non sempre sono state rispettate le consegne nonostante Prime..."", ""historical_response"": ""@308528 In questo caso la consegna avverr\u00e0 entro la giornata di domani! ^FA""}]"
717169,@AmazonHelp Yes but my issue is w/ being notified this AM to expect the book by 8pm then to have tracking update 30mins past delivery window it was late,account_email_or_login,delivery_delay,0.9665,ESCALATE,ESCALATE,Escalated because best Knowledge similarity 0.15 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""2018683"", ""similarity"": 0.1452, ""customer_message"": ""@AmazonHelp Yes..but helpless"", ""historical_response"": ""@184647 In that case, kindly fill in your details here: https://t.co/GIJyeYqKE0 and we'll get this checked for you. ^PB""}, {""conversation_id"": ""2689320"", ""similarity"": 0.1403, ""customer_message"": ""@AmazonHelp Sunday by 8pm.\nThen it changed to Monday...\nWould have made diff plans today... https://t.co/DsyriiGZ3j"", ""historical_response"": ""@756099 I know how frustrating this can be but we're here to help! We appreciate your patience. Please keep us posted on the updated delivery! ^AZ""}, {""conversation_id"": ""962646"", ""similarity"": 0.1368, ""customer_message"": ""@AmazonHelp today by 8pm"", ""historical_response"": ""@348432 Thanks for the info. Please let us know if you haven't received it by that time. ^GG""}]"
718348,"@AmazonHelp I was looking at the deals page and clicked on an item. Once I saw I liked it, I clicked the one-click order button. Then saw I was charged $20 more than the page said. I went back to the page and took a screen shot of correct price ($20 less than I was charged). 50 mins on chat.",delivery_tracking,website_app_or_technical_issue,0.8746,AUTO-HANDLE,ESCALATE,Escalated because best Knowledge similarity 0.17 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""1843567"", ""similarity"": 0.1675, ""customer_message"": ""@AmazonHelp Not really, lost my voice otherwise that would be an option."", ""historical_response"": ""@552383 Okay no worries. I think the chat option is not showing as your on the app. (Its showing for me on the website) Can you check on a computer instead see if your able to chat then? ^MI""}, {""conversation_id"": ""984188"", ""similarity"": 0.1581, ""customer_message"": ""@AmazonHelp No, I was charged for both orders on the 20th which was expected and then today I was charged the exact same two orders a second time"", ""historical_response"": ""@353319 Apologies, please contact us here: https://t.co/JzP7hlA23B so an agent can look into this for you. ^JJ""}, {""conversation_id"": ""2113572"", ""similarity"": 0.1572, ""customer_message"": ""@AmazonHelp It says \""We encountered an error while submitting your request, please try again\"""", ""historical_response"": ""@623190 Have you tried using a different device/browser? If using the Amazon app, you may want to clear your cache and cookies. ^WM""}]"
929177,@AmazonHelp I have shared my detail here as your link is not working. Please share delivery proof ASAP.,website_app_or_technical_issue,website_app_or_technical_issue,0.5171,AUTO-HANDLE,ESCALATE,Escalated because intent confidence 0.52 is below 0.60.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""2290142"", ""similarity"": 0.4602, ""customer_message"": ""@AmazonHelp Your link is not working"", ""historical_response"": ""@665280 Could you let us know about the issue you're facing when you access the link? ^NR""}, {""conversation_id"": ""526588"", ""similarity"": 0.3323, ""customer_message"": ""@AmazonHelp I have shared my details...."", ""historical_response"": ""@241865 Thank you for confirming, we will look into it and get back to you soon with an update. ^SI""}, {""conversation_id"": ""1391200"", ""similarity"": 0.2775, ""customer_message"": ""@AmazonHelp Have shared my details already"", ""historical_response"": ""@378013 An email has already been sent with a reply. Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ ^KA""}]"
970562,@AmazonHelp Unsure how this helps.Can see iplayer on firestick when register w prime account. But when reg w nonprime acct can't see it.Also for ITV app,prime_membership_or_benefits,prime_membership_or_benefits,0.7405,AUTO-HANDLE,ESCALATE,Escalated because best Knowledge similarity 0.19 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""2384166"", ""similarity"": 0.1912, ""customer_message"": ""@AmazonHelp Problem solved"", ""historical_response"": ""@687219 We've responded to your DM, please check. ^KA""}, {""conversation_id"": ""22195"", ""similarity"": 0.1868, ""customer_message"": ""@AmazonHelp Not that I can see https://t.co/c3atGuyoON"", ""historical_response"": ""@120848 Thank you for the information. We'd like to look into this. Please contact us via phone/chat: https://t.co/JzP7hlA23B. ^AL""}, {""conversation_id"": ""2132848"", ""similarity"": 0.1737, ""customer_message"": ""@AmazonHelp Not that I can see in the email"", ""historical_response"": ""@627586 I know how frustrating this can be. Please let us know if the item does not arrive by the 14th of November. ^BA""}]"
1011457,@AmazonHelp @115850 asked for refund Order# 404-7401584-6902710 got a reply-ur cheque was deliverd to sum1 else by mistake so we can't initiate a new1,account_email_or_login,refund_return_or_cancellation,0.9734,AUTO-HANDLE,AUTO-HANDLE,Intent confidence 0.97 and best Knowledge similarity 0.24 meet the auto-handle thresholds.,"Apologies for the trouble, kindly reach out to our support team here:  We'll look into it. ^PS","[{""conversation_id"": ""1250157"", ""similarity"": 0.2394, ""customer_message"": ""@AmazonHelp did i asked for refund"", ""historical_response"": ""@169505 Apologies for the trouble, kindly reach out to our support team here: https://t.co/R3EfhzgU8B. We'll look into it. ^PS""}, {""conversation_id"": ""245827"", ""similarity"": 0.2191, ""customer_message"": ""@AmazonHelp BBYE  @AmazonHelp @115850"", ""historical_response"": ""@174394 https://t.co/Zs3sWyPXwV to know about this. I will ensure that I\u2019ll forward your feedback to appropriate team. 2/2 ^NK""}, {""conversation_id"": ""795744"", ""similarity"": 0.1541, ""customer_message"": ""@AmazonHelp So we can't talk. Fine. Thanks for such strange assistance."", ""historical_response"": ""@309729 Please chat with the chat support and they'll get this resolved. ^HN""}]"
