conversation_id,customer_message,conversation_context,historical_brand_response,proposed_intent,human_intent,human_escalation,human_notes
2625947,@AmazonHelp I already spoke to 2 reps about the issue of my account being charged for Prime and I didn’t authorize the transaction,"AmazonHelp: @741742 This isn't what we like to see! We want to help, will you tell us about what happened without sharing account details? ^DW",@741742 Did we inform you of how you can cancel your Amazon Prime? What options and insight were provided? ^GM,payment_or_card_charge,,,
2698867,"@AmazonHelp They do not. I have a strong suspicion I know who took it, though I can't understand why they'd do it. If I can't track the package down I will need a replacement at no charge.",AmazonHelp: @758273 I'm sorry to hear we've miss-delivered your package! Let us know if the tips listed here help recover it: https://t.co/WCIP4S7ay3. We're here to help if you need us! ^CS,"@758273 We'd like to look into this for you, but we cannot access your account via Twitter. Please reach out to us via phone or chat here: https://t.co/Q7Ftz6nj80 ^AR",payment_or_card_charge,,,
2745963,@AmazonHelp Yes!!!! In a major way. Today is the delivery day... between the 20th and 24th and it has not even been sent to shipment. Plus where’s the point in having prime if I don’t get the agreed standard shipping (4-5/5-7days)????,"AmazonHelp: @768994 Oh no, Gabrielle! Did we miss the delivery date in your confirmation email? https://t.co/SXi0CT7RzK ^BE","@768994 I completely understand your concern, Gabrielle! Prime Two-Day Shipping refers to transit time after the item is ready to ship. Some items have additional processing, we include that into the date. Please let us know if we miss the delivery window provided! ^VB",delivery_delay,,,
2910317,@AmazonHelp I bought a product off you and then cancelled as found cheaper. You still delivered and tried to charge me returns. Your advisor said they would advance refund so I could return and still buy product elsewhere. Refund never came and now I’m out of pocket as deal elsewhere has end,"AmazonHelp: @805699 I'm so sorry for the poor experience you've had with us, Johnathon! Without providing personal or account info, could you tell us what the original issue was? We'd love to help! ^AR",@805699 This isn't what we like to hear! Refunds typically take 3-5 days to appear on your billing statement. Do you remember how long ago the refund was requested? Did you ever receive a confirmation e-mail? ^BH,refund_return_or_cancellation,,,
354422,"@AmazonHelp TY for your response. Carrier: AMZL US
Tracking #: TBA482591585000. Been waiting for it tonight, said Out For Delivery. Now not",AmazonHelp: @200256 I'm sorry for the delivery issues! To confirm; who's the carrier shown under tracking info: https://t.co/Y5jpI9gRhE ^WT,@200256 Please visit us at the following link and provide some details so we can get this addressed: https://t.co/l7iqifje2u (1/2),delivery_delay,,,
390784,"@AmazonHelp Yes, and it's a 3 day delivery instead of 2 days. I am a prime member and expect prime shipping.",AmazonHelp: @208316 I'm so sorry for the frustrating experience! What was delivery date provided in the order confirmation e-mail? ^MJ,@208316 Prime Two-Day Shipping refers to the transit time after the item is ready to ship. Let us know if we miss that date. ^JZ,prime_membership_or_benefits,,,
616997,@AmazonHelp Yeah...but I’m disappointed as I have a prime account and you promised it yesterday and now I might not get it till the end of the week? #notright,AmazonHelp: @266388 I'm so sorry to hear about your experience! Have we updated you with a new delivery date by e-mail? ^VF,@266388 I'm so sorry we've let you down. Sometimes unforeseen circumstances may occur. Please keep us updated on your delivery! We want to make sure you receive your parcel. ^JO,prime_membership_or_benefits,,,
656083,"@AmazonHelp Thx for reaching out. I didnt, but started the refund process. It's a hassle to bring this heavy #persil to ups. Timing isnt gonna work out now, I'll reorder after holidays (hope prices won't change). Hopefully your team wont ask me how come there is only one item in the package",AmazonHelp: @276079 I am really sorry for the mix-up there Victoria. Have you been in contact with our customer services to resolve this for you? ^SM,"@276079 Hi Victoria, when you were going through our Return Center did you mark it as 'Wrong item received' if you did then all should be fine. In any case if you'll have any difficulties just reach out to us. ^MA",refund_return_or_cancellation,,,
671611,"@AmazonHelp Inizialmente era lunedì, ma questa notte me lo avete spedito e la data è diventata martedì. Poi ho amici senza Prime ai quali ancora non avete spedito e si vedono ancora lunedì come data d’arrivo. E ho fatto la prenotazione appena mi è arrivata la notifica di disponibilità","AmazonHelp: @280254 Ciao Nicø, qual è la data di consegna che ti abbiamo indicato in fase di acquisto e che ti è stata comunicata via e-mail? ^MP","@280254 Da Twitter non ho modo di vedere l'ordine, contatta la nostra Assistenza cliccando qui: https://t.co/YtcS8zMWhk. ^MA",delivery_delay,,,
717169,@AmazonHelp Yes but my issue is w/ being notified this AM to expect the book by 8pm then to have tracking update 30mins past delivery window it was late,AmazonHelp: @291698 I'm sorry for the longer than expected wait. Have we provided a new expected delivery date: https://t.co/E4LkLTKQYs? ^CL,"@291698 When you spoke to us, what info did the agent provide? Please keep us posted, as we want to make sure your order arrives. ^AG",delivery_delay,,,
718348,"@AmazonHelp I was looking at the deals page and clicked on an item. Once I saw I liked it, I clicked the one-click order button. Then saw I was charged $20 more than the page said. I went back to the page and took a screen shot of correct price ($20 less than I was charged). 50 mins on chat.","AmazonHelp: @291992 Hi Ben, without giving any personal account info, can you tell us what exact happened?^MA",@291992 Sorry to hear Ben. Please forward your details here - https://t.co/mk7tow11c4 we'll be happy to investigate further. ^TP,website_app_or_technical_issue,,,
865790,"@AmazonHelp No, your representatives were completely unhelpful.  Told me I could ""cancel my membership if that's what made me happy.""","AmazonHelp: @325603 Sorry to hear about these delivery issues Ethan. When you spoke with us, did we tell you when you could expect your orders to arrive? ^BZ",@325603 MY apologies for this. What was the expected delivery date given at the time the order was placed? ^DC,refund_return_or_cancellation,,,
929177,@AmazonHelp I have shared my detail here as your link is not working. Please share delivery proof ASAP.,AmazonHelp: @340460 Did you happen to share your details with us using the secure link we had shared. We would like to help you. ^CB,"@340460 Thank you for sharing your details, Abhinay. Be assured, we'll check your concern and assist you. ^SV",website_app_or_technical_issue,,,
970562,@AmazonHelp Unsure how this helps.Can see iplayer on firestick when register w prime account. But when reg w nonprime acct can't see it.Also for ITV app,AmazonHelp: @350310 Hi. Have you tried to view the app's Product Detail page for compatibility info: https://t.co/GnGSy8Ycs4 ^DO,@350310 Please let our Fire TV Stick team take a look into this with you and look into options:  https://t.co/JzP7hlA23B ^DO,prime_membership_or_benefits,,,
1011457,@AmazonHelp @115850 asked for refund Order# 404-7401584-6902710 got a reply-ur cheque was deliverd to sum1 else by mistake so we can't initiate a new1,"AmazonHelp: @358466 That's quite a remark, Farheen. Please elaborate your concern for us to assist you. ^SV",@358466 Sorry for the trouble with your refund. Kindly fill in your details here: https://t.co/GIJyeYqKE0 &amp; I'll look into this. (1/2)^SQ,refund_return_or_cancellation,,,
1037186,@AmazonHelp Yeah. We just called customer services and because it’s a 3rd Party seller whose inventory you don’t control they will process a refund IF we return the basket via Royal Mail. Why should we have to go out of our way!? All we want was the baskets.,AmazonHelp: @284515 I'm truly sorry about the missing baskets! We want to help. Have you reviewed options for refund or replacement here: https://t.co/aaDyEz1VgE? ^SH,"@284515 Hello, Has the seller explained why they have only offered a refund and not a replacement? ^KK",refund_return_or_cancellation,,,
1041698,"@AmazonHelp Gracias, solo una pregunta más cuanto me cobrarían por envió y por iva,( si es que cobran ) ?","AmazonHelp: @366356 Hola, Betzabë. Actualmente este libro está agotado, pero si gustas puedes comprarlo y esperar a que esté nuevamente en inventario, puedes revisar este enlace: https://t.co/uVued5zIgA

^CB","@366356 Después de agregar el producto al carrito, en la página de resumen del pedido, antes de finalizarlo, podrás ver el valor total, el cuál especificará cada valor: producto, envío, y total, en caso de que haya algún impuesto aplicable incluido, podrás verlo. ^VM",other_or_unclear,,,
105219,"@AmazonHelp They keep sending me the same auto email. On the phone they say they'll get back to me, auto email. Been round and round for days. Just want a real update on the situation. Can you help?","AmazonHelp: @139238 I'm sorry for the upsetting experience Tom. Have you spoken to customer service directly via phone? If so, what information/options were provided to you about this? ^VS","@139238 As we are unable to view account details via Twitter, this would be something that a member of our team would need to look into and reach out to you via email. Please keep an eye out for an email from us. ^TE",other_or_unclear,,,
1057315,@AmazonHelp Nope. This is the second amazon shipping issue this week. Deeply disappointed.,"AmazonHelp: @335261 Hi Leslie, sorry to hear that! Has the carrier provided a reason for the delay? ^TS",@335261 My apologies Leslie. Were you given any additional information when you contacted us by phone/chat? ^DC,delivery_delay,,,
1065652,@AmazonHelp I have checked the info and contacted customer care many times but no help is being provided.,"AmazonHelp: @345560 Have you checked the delivery info of your order?
You can view that info here:https://t.co/Y5jpI9gRhE
^LL","@345560 We've responded to you here: https://t.co/bMwe9wfoWU, Bhaskaran. Kindly reply to the email for an update on this. ^KS",other_or_unclear,,,
1071128,"@AmazonHelp Thanks. Looks like someone's abusing your affiliate program. Worth looking into 'cos it hurts your brand image, not theirs.","AmazonHelp: @372764 This is a fake offer, Dhruv. Please refer to Amazon.in for genuine offers. ^MK",@372764 I've noted your comments and have forwarded your feedback internally so that they are aware of this issue. ^SM,other_or_unclear,,,
1071137,@AmazonHelp I looked  that but does it apply to a music purchase?,"AmazonHelp: @372766 We're here to help! For details on how to cancel an order, please see here: https://t.co/8XHaAIhWtB ^KL","@372766 My apologies, for digital orders, you can check options here: https://t.co/qhEyXS5Qvx or phone: https://t.co/hApLpMlfHN ^AN",other_or_unclear,,,
1087750,"@AmazonHelp Yes, both times some of the K-Cups inside have been squished to the point of leaking their contents.","AmazonHelp: @376595 I'm sorry your K-cups arrived like that, Daniel! I see the box is smashed but is the product itself also damaged? ^CN",@376595 Thanks for confirming! Please contact us directly so we can help fix this: https://t.co/hApLpMlfHN. We want to make this right! ^SD,other_or_unclear,,,
1088757,"@AmazonHelp NÚMERO DO PEDIDO
701-5675530-9892212

Pedido debitado no meu cartão mas encontra-se como pagamento reprovado no site,","AmazonHelp: @376826 Olá, poderia nos explicar com mais detalhes o que aconteceu sem publicar detalhes da sua conta? ^DA","@376826 Por motivos de segurança, recomendo apagar o tuit pois contém informações da sua conta. Lembre que esta é uma rede pública (1/2)",other_or_unclear,,,
1092420,@AmazonHelp ah d'accord merci,"AmazonHelp: @377789 Bonsoir, je vous informe que nous débitons les commandes au moment de leur expédition. ^MA",@377789 À votre service! ^MD,other_or_unclear,,,
1097249,"@AmazonHelp @115850 @115821 @115830 Thanks will keep in mind, may i expect any action issue ?","AmazonHelp: @378928 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW",@378928 Looks like your issue is being handled by the specialist team. Kindly revert to their email for further assistance since 1/2 ^EM,other_or_unclear,,,
1120410,@AmazonHelp わかりました。ありがとうございます。,AmazonHelp: @384335 ご心配をおかけしております。コンビニ払いのお支払い番号は、在庫(入荷)状況や販売元などによって、発行のタイミングが異なります。https://t.co/w7pekJAmOO  発行までにお時間がかかることもございますので、今しばらくお待ちください　HM,@384335 恐れ入ります、どうぞよろしくお願いいたします。　SM,other_or_unclear,,,
1122704,@AmazonHelp Forget it,AmazonHelp: @381143 Please report this to our support team here : https://t.co/rS49hgaADF so that we can assist you accordingly. ^RI,@381143 Kindly connect with us via the above link. We'll check this for you. ^SG,other_or_unclear,,,
1151084,"@AmazonHelp Beim letzten Bestellschritt, steht unter den Auswahlmöglichkeiten zur Versandart. Vorher gab es bei der Adressauswahl wirren Java-Code.",AmazonHelp: @390885 Wann/wo bekommst du denn diese Meldung? ^BL,"@390885 1/2 Falls du es über ""https://t.co/5qVbHVZT1Z"" machst, mach mal das ""smile"" aus der URL weg dann sollte es klappen.",other_or_unclear,,,
1157230,"@AmazonHelp I've tried everything. Factory reset etc. It's completely random, drops signal at any time on any day. Almost unusable now.",AmazonHelp: @392229 I'm sorry for the trouble! Have you tried restarting the router/modem? ^MH,"@392229 Oh no, Ben! Let's do some live troubleshooting together by phone or chat here: https://t.co/JzP7hlA23B ^TG",other_or_unclear,,,
1199446,@AmazonHelp I need a call on this no 9818238051,AmazonHelp: @200292 We'll be glad to help you with your issue. Please contact us here: https://t.co/vlvfJr4nN9 and we'll help. ^ZH,"@200292 As this is a social media platform, we can't view your account/order details. Please elaborate on your concern (1/2)^HR",other_or_unclear,,,
1212214,@AmazonHelp はーい、すぐ捨てました！メールアドレスが変だったので、明らかに分かって良かったです,AmazonHelp: @404522 リプライ失礼いたします、アマゾン公式です。https://t.co/2BdGCDQTn3を名乗る心当たりのないEメールを受信した場合には、決してご連絡いただかないようご注意ください。また、Eメール内に添付ファイルやリンクは開かないようお願いいたします HM,@404522 左様でございましたか、既にお気づきのところ不要なご案内となり失礼いたしました。今後もどうぞお気を付けくださいませ。　リプライありがとうございました。　SM,other_or_unclear,,,
1221818,@AmazonHelp No,AmazonHelp: @406700 I'm sorry you haven't received your item! Was a reason provided on your tracking for the delay: https://t.co/Y5jpI9gRhE? ^ME,@406700 I understand your frustration! Who's the carrier listed for your order and what's the current tracking information state? ^HC,other_or_unclear,,,
1260144,@AmazonHelp Yes. Sometimes parcels have just been left on my doorstep!,AmazonHelp: @415246 Really sorry about this. Has this happened with a lot of your orders Tom? ^KM,"@415246 As we're unable to view your account via Twitter,pls contact here:https://t.co/JzP7hlA23B so we can look into this.^KM",other_or_unclear,,,
1264502,"@AmazonHelp Doing that as we speak, printing labels and going to drop off at the local celeritas depot later.","AmazonHelp: @416103 Hello, we are sorry about this. ¿Did you check the options available to return the product, here: https://t.co/q5qJKNWfbs? ^DA","@416103 We understand. If the item was sold by a third party seller, you can also contact the seller directly for more information. ^LG",delivery_delay,,,
127432,"@AmazonHelp Comprei algumas HQs: Batman Ano Zero, duas edições do Tio Patinhas da coleção do Don Rosa e a primeira edição recente em quadrinhos de De Volta Para O Futuro","AmazonHelp: @144616 Olá, Cacio! Conte para nós, o que você comprou no nosso site?. Ficamos curiosos. 🤔💚 ^NB",@144616 Uhuuuuu! Eu sou fã do tio Patinhas e do Batman! Que legal! 😍🦆🦇 ^JJ,prime_membership_or_benefits,,,
1303740,@AmazonHelp I can't sign from that link for help cuz it won't acknowledge my email address as valid,"AmazonHelp: @424652 I'm sorry for any troubles. Whenever you have the time, give us a shout here:https://t.co/SOotc4AXnz. We'd be happy to help!^SK","@424652 (1/2) Hello! If you click the link and in option 1 click ""my account"" option 2 click ""password assistance""",account_email_or_login,,,
1331875,@AmazonHelp I have already shared all my details on this form.,AmazonHelp: @430714 Sorry for the delay.I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^PJ,"@430714 Thanks for that update, Sushant. We'll get in touch with you soon. ^JC",other_or_unclear,,,
1334746,"@AmazonHelp y , ohh now you act as good company with policy that's grace full ,fucking amazon",AmazonHelp: @431369 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public. ^SQ,"@431369 Hi, sorry for the hassle. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll get back to you. ^HN",other_or_unclear,,,
1341619,"@AmazonHelp Contacted CC regarding problem, and with bank too. But people are pelting stones on each other in front of me but no solution ! What to do?",AmazonHelp: @207237 Our apologies for any inconvenience you had to go through. Please tell us what went wrong and we'll be glad to help you. ^MK,"@207237 Apologies for the experience, Sreeram. Please share your details here: https://t.co/GIJyeYqKE0 (1/2) ^SV",payment_or_card_charge,,,
1341661,@AmazonHelp Yez i got a reply tuesday saying dear friend i will send you more . I dont want it i.ordered it on 29th sep it took a month to come,"AmazonHelp: @432933 I'm sorry, Emma. Have you heard back from the seller yet? We do ask you allow them 2 business days to respond. Keep us posted^KL",@432933 Did you reply back to the seller on Tuesday informing them of this?  ^CO,other_or_unclear,,,
1365441,"@AmazonHelp By Amazon. Four cds, one of which had been preordered.","AmazonHelp: @426544 to confirm, was your item shipped by Amazon or a third-party seller? You can view that here: https://t.co/Y5jpI9gRhE ^HC (2/2)","@426544 OK. Let's take a look at all our options for your order together, please call/chat us: https://t.co/hApLpMlfHN ^RM",other_or_unclear,,,
1382678,"@AmazonHelp Bonjour YL, le 24 octobre (et la commande est à aller chercher directement à Amazon locker)","AmazonHelp: @441792 Bonjour, quand avez-vous passé la commande? 
^YL","@441792 Dans ce cas, je vous propose de contacter notre SC pour vérifier le statut de votre commande via https://t.co/hgIrz98cdI 
^YL",other_or_unclear,,,
141923,@AmazonHelp これからいっぱい読ませてもらいますとも！,"AmazonHelp: @148035 Kindle Paperwhite マンガモデルをお買い求めいただき、ありがとうございます！
末永くご愛用いただければ幸いです(*´ー｀*) HM",@148035 読書の秋ですね🍁✨書籍をダウンロードしておけばかさばらずにどこでもお読みいただけます☺何かあればお気軽にご連絡ください🙇‍♂️　MH,other_or_unclear,,,
1427986,@AmazonHelp I have filled all these forms a number of times. Do open my profile &amp; interaction details. What the hell u r xpecting frm ur customer?,"AmazonHelp: @451691 Sorry for the hassle. We’d like to help you, please fill this form: https://t.co/beaaDm0muc and we’ll contact you soon. 1/2 ^RI","@451691 In that case, you will receive our correspondence here: https://t.co/DTSNmGldJf. Please reply the email for any assistance. ^BS",other_or_unclear,,,
1432332,"@AmazonHelp i have faced 3 times problem in amazon. i have chat, call , TL talk,everything, they are not listening.jst say sorry,this wil nt hpn in futr",AmazonHelp: @452592 Apologies for the hassle. We would like to help you. Please share your details here: https://t.co/GIJyeYqKE0. ^BS,@452592 We'd like to help. Please share your details using the link provided earlier and let us know. We'll reach out to you. ^VN,other_or_unclear,,,
1466026,@AmazonHelp I never received a package that is displayed as delivered. Hoping to learn what happened and get it sorted out. Can you help?,"AmazonHelp: @157131 I'm sorry for any frustration caused! Without personal or account information, can you tell us what's going on? ^TR","@157131 For tips on how to locate your package, please see here: https://t.co/rgF5o17dLu Keep us posted. ^CO",delivery_delay,,,
1476906,@AmazonHelp Can I purchase a UK version of the Call of Duty: World War 2 digital deluxe edition through the website?,AmazonHelp: @408645 Amazon Gift Cards can't be used to purchase other gift cards which includes PlayStation Gift Cards: https://t.co/ropXlxCuLX ^DD,@408645 Great question! The available version of Call of Duty: WWII Deluxe Edition can be found here: https://t.co/Ejkx9OW2NT ^AC,website_app_or_technical_issue,,,
1479146,@AmazonHelp わかりました,AmazonHelp: @463474 ご心配をおかけしております。カスタマーサービスが混みあっている場合には、Eメールの返答までお時間を頂いております。恐れ入りますが、文末のURLよりお電話またはチャットでの問い合わせもご検討下さい。 https://t.co/0BZ2DvalRN EK,@463474 ご心配をおかけして申し訳ございません。どうぞよろしくお願いいたします。ET,other_or_unclear,,,
1504840,"@AmazonHelp Yes, I did it’s now anywhere from tomorrow to Wednesday when I pay for two day shipping. Your logistics contact confirmed that YOU (@115821) lost the package and the notifications that are sent out are FALSE.",AmazonHelp: @116917 I'm so sorry for this wait for your order. Did you receive any notifications of a change in delivery estimate? Please check the spam/junk folder of your e-mail account as they are sometimes fitlered there. ^DO,"@116917 I'm sorry for the trouble with this shipment! I'd like to have a member of our team take a second look at this on your behalf. When you have a moment, please send us the order and tracking numbers here: https://t.co/0gbvYPg7xU ^SB",delivery_delay,,,
1510454,@AmazonHelp Essentially yeah. It was supposed to arrive on Tues and now it just seems to be completely lost.,"AmazonHelp: @470586 I'm sorry to hear this, Liban! Have we missed the delivery date given to you in your order confirmation email? ^HC",@470586 Oh no! This was not our intent. Can you tell us who the courier is for the item? ^AL,delivery_delay,,,
1536168,@AmazonHelp No packaging. Hence the fact my 6 yr old saw it!,AmazonHelp: @407011 Apologies - what info did we provide - was Frustration Free packaging mentioned ? ^TD,@407011 Product detail pages will normally inform you if the item ships in the manufacturer box. You can also mark you order as(1/2) ^JP,other_or_unclear,,,
1553831,"@AmazonHelp I've shared details, looking forward for a quick update on this from your side.","AmazonHelp: @480674 Sorry to know that. We'd like to take a closer look at this, please share the details here: https://t.co/GIJyeYqKE0 ^MS",@480674 Thanks for the update. We'll check and get back to you at the earliest. ^HA,other_or_unclear,,,
1574526,@AmazonHelp Oderno 408-6803673-5453107,AmazonHelp: @485239 We ship &amp; deliver orders as per the estimates shared with you. Could you let us know if we've missed the date mentioned. ^GS,@485239 I'd like to have a closer look at the issue. Please share your details here: https://t.co/GIJyeYqKE0 and I'll reach out. ^KA,other_or_unclear,,,
158705,@AmazonHelp And make sure the stuff u put on sale actually has sale offer like 40 % or 30 % off bcoz black Friday offer always be half prize of the regular once,AmazonHelp: @152484 That's quite a remark. I'll be sure to forward your feedback internally to the team concerned. ^MK,"@152484 As mentioned earlier, we'll be sure to share this as a feedback to the concerned team internally for a review. Appreciate your understanding. ^KA",other_or_unclear,,,
1601583,@AmazonHelp さっき問い合わせてさせていただきました。今返事待ちです。,"AmazonHelp: @491656 Amazonビデオアプリにサインインができない状況でしょうか。
問題が解決しない場合は、ご利用環境を添えてカスタマーサービスまでお問い合わせください。https://t.co/J6YEizo6qC　MH",@491656 リプライありがとうございます。恐れ入りますが、カスタマーサービスからの回答をお待ちください。TN,other_or_unclear,,,
160251,"@AmazonHelp Box de Percy Jackson, Trilogia Crônicas de amor e Ódio, Contos Peculiares, Trilogia O Orfanato da Srta. Peregrine para crianças Peculiares, e outros, foram muitos livros.","AmazonHelp: @152924 Olá, Genyffe! Conte para nós, quais livros você comprou?. Ficamos curiosos. 🤔📚 ^NB","@152924 Eita, você adora ler mesmo, não é? Nos indique assim você receber seu pedido, para dividir a felicidade! :D Abraço! ^CR",other_or_unclear,,,
1603124,"@AmazonHelp I have already provided all the necessary details..

Kindly check and resolve the issue..

@115851","AmazonHelp: @491895 the secure link provided earlier? Please don't provide your order details, as we consider 2/3 ^AP",@491895 Thank you for letting us know. We will look into it and assist you further. ^HR,other_or_unclear,,,
1625034,@AmazonHelp Yes I've messaged them twice now and had no reply?,AmazonHelp: @420314 I'm sorry for the wait. Have you attempted to reach out to the seller of your order yet: https://t.co/JqkDOPDaZP? ^AN,"@420314 Have 2 Working Days passed since you contacted them? If so, look into our A-toZ Guarantee: https://t.co/Du16i3qeyR ^DO",other_or_unclear,,,
1633187,@AmazonHelp My Alexa turns off. Randomly. Today it did it 4 times in 5 minutes. I’ve contacted CS at least 5 times with no resolution.,"AmazonHelp: @499708 This certainly isn't what we like to hear! Without giving personal info, will you tell us more about what's going on? ^HC","@499708 Thanks for telling us. When you called, what kind of troubleshooting did we try with you, if any? ^DW",other_or_unclear,,,
1665283,@AmazonHelp Arriving early: Rewy Mini Rugby Wireless Portable Bluetooth Speaker With USB &amp; TF Card Sloü will be delivered by AmzAgent(8919426646).,"AmazonHelp: @507420 Please don't provide your details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AM",@507420 Sorry for the hassle with delivery. We certainly didn't expect this to happen. Please report this to our support team here:1/2 ^RI,delivery_delay,,,
1684548,@AmazonHelp Bonsoir tout est écrit dans le message ....,"AmazonHelp: @309164 Bonsoir, quelle a été la réponse fournie s'il vous plaît? Votre dossier est-il actuellement pris en charge par notre SAV?^FT","@309164 Désolée pour cela, vous pouvez nous laisser une évaluation sur l'emballage via: https://t.co/5iBXQUl2Fs afin d'y remédier ^KE",other_or_unclear,,,
1710642,@AmazonHelp already talked several times with you but in vain.....Check my account with the same name,AmazonHelp: @172452 Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest. (2/2) ^MD,"@172452 I understand your concern, Ramesh. Please share your details and we'll reach out to you. ^HD",account_email_or_login,,,
1719215,@AmazonHelp It’s been over 48 hours my account has been on hold. Still no email from your team!! How patient do you want me to be.,AmazonHelp: @520463 I'm so sorry for the delay! Our Account Specialist will reach you via e-mail. Please be sure to check your spam/junk mail folders as messages can occasionally be routed there. Let us know if there hasn't been a response within 2 business days. ^ST,"@520463 You should have received an email from an Account Specialist by now, please check your spam/junk folder. I'm afraid we don't have access to account details here on Twitter. ^KM",account_email_or_login,,,
1721503,@AmazonHelp Certo e gli ho detto che mi hanno fatto un danno immenso.la risposta?che la spedizione ha subito un imprevisto e forse arriverà tra 2 giorni,"AmazonHelp: @520964 Mi spiace, l'hai segnalato al nostro Servizio Clienti? ^GA","@520964 Mi spiace, i colleghi avranno inoltrato le dovute segnalazioni. Il Servizio Clienti resta a tua disposizione. A presto! ^GA",delivery_delay,,,
1721729,@AmazonHelp Whats the status of the pending order?,"AmazonHelp: @521010 checked for you. Please don't provide your order details, we consider it to be personal information. 2/2 ^SY","@521010 We're unable to check the details over Twitter, Laksh. Please reach out to our support team using the link provided. ^JC",delivery_tracking,,,
1723450,@AmazonHelp Ok ok ... possibilité de DM ?,"AmazonHelp: @520360 Les livraisons se font de 8h à 20h. Si vous ne recevez pas le colis vers la fin de la journée, vous pouvez en aviser notre SAV.",@520360 Vous pouvez nous envoyer un DM si vous le souhaitez et on vous répondera à réception ! ^AR,other_or_unclear,,,
